Gene,Gene signature,Description,PMID
VEGFC,Angiogenesis,VEGF-C and VEGF-D are able to activate both KDR and VEGFR-3 (Flt-4) and have a dual role as an angiogenic and lymphangiogenic growth factor.,19701853
VWF,Angiogenesis,"VWF αvβ3, which is expressed on EC and is the best characterised endothelial receptor for VWF, has been shown to play a crucial role in angiogenesis and is a therapeutic target for cancer. VWF is produced by endothelial cells and megakaryocytes. In recent years, it has become evident that VWF plays multiple roles in the vasculature. VWF has been shown to control smooth muscle cell proliferation, vascular inflammation, cell death and tumour metastasis. VWF was found to regulate two pathways, possibly linked, which may be controlling angiogenesis: an extracellular pathway involving integrin αvβ3 and an intracellular pathway involving Ang-2 storage in WPB. Besides Ang-2, VWF interacts with or regulates the storage of several proteins which have been implicated in the control of angiogenesis, including interleukin-8, galectin-1 and galectin-3, connective tissue growth factor59 and insulin-like growth factor binding protein-7. These studies suggest that VWF controls stability and quiescence through an intracellular pathway, by directing the formation of WPB and hence the storage of Ang-2 (and possibly other angiogenic regulators), and extracellular pathway, by stabilizing αvβ3 on the cell surface and regulating its levels and activity.",24106610
CCL3,Antitumor cytokines,"The presence of CD8+ T cells in the melanoma microenvironment is associ­ated with local production of CCL2, CCL3, CCL4, CCL5, CXCL9 and CXCL10.",24048123
IFNA2,Antitumor cytokines,IFNα and IFNβ have important functions in homeostasis and antitumour immunity.,26911188
IFNB1,Antitumor cytokines,"IFNβ has pleotropic effects, including antiviral, antitumor, and anti-inflammation. IFNβ suppresses inflammatory responses in MS patients by four major mechanisms, including blocking T cell activation, controlling pro- and anti-inflammatory cytokine secretion, preventing activated immune cell migration through BBB, and inducing repair activity of damaged nerve cells by differentiating neural stem cells into oligodendrocytes.",24250925
IL21,Antitumor cytokines,"IL-21 is produced by a variety of activated CD4+ T cells including TH1 and TH17 cells, natural killer T (NKT) cells and follicular helper T cells. IL-21 exerts potent antitumor effects due to its ability to induce and expand cytotoxic CD8+ T cells, NK cells and NKT cells, as well as to its capacity to suppress FOXP3 expression and the expansion of regulatory T cells",23894713
TNF,Antitumor cytokines,"Tumor necrosis factor alpha (TNF-alpha), isolated 30 years ago, is a multifunctional cytokine playing a key role in apoptosis and cell survival as well as in inflammation and immunity. If expressed chronically, contributes to the chronic inflammation (promotes TGF-beta expression, Treg expansion, EMT).",16614236
TNFSF10,Antitumor cytokines,"TRAIL, a member of the TNF family, induces apoptosis in a variety of transformed cells following ligation to TRAIL-Receptor-1/DR4 and -2/DR5. TRAIL can induce apoptosis in transformed cells of diverse origin with little or no effects on normal cells and exhibits antitumor activity in several xenograft studies without systemic toxicity.",24637636
BLK,B cells,"Blk is exclusively expressed in B cells and thymocytes but not in mature T cells. Besides a role of Blk in B-cell receptor (BCR) signaling and B-cell development, the cellular functions of Blk are poorly defined.",19351960
CD19,B cells,CD19 is critically involved in establishing intrinsic B cell signaling thresholds through modulating both B cell receptor-dependent and independent signaling. CD19 functions as the dominant signaling component of a multimolecular complex on the surface of mature B cells.,23210908
CD22,B cells,"CD22 is expressed in mature B cells, but not in their precursor or memory B cells. It is strongly expressed in follicular, mantle and marginal-zone B cells, but is weakly present in germinal B cells, thus indicting its potential therapeutic target for B-NHL. The function of CD22 has not been entirely clarified; it acts as a homing receptor for recirculating B cells through the affinity of the lectin-like domains for 2,6-linked sialic acid-bearing glycans and as a B-cell antigen receptor (BCR) down-modulating co-receptor.",22453099
CD79A,B cells,"Among the different B-cell markers, CD79a has the highest linage-specificity for B-cell differentiation, with a specificity of 88% and a sensitivity of 100%. It is a cell-surface molecule having a cytoplasmic domain that is associated physically with membrane immunoglobulins. CD79a is needed for B-cell differentiation and is expressed in the early and late stages of B-cell development.",16271957
CD79B,B cells,The BCR consists of the antigen-binding immunoglobulin heavy (IgH) and light (IgL) chains coupled to a heterodimer of the signaling subunits CD79A (Igα) and CD79B (Igβ).,28011673
CR2,B cells,"The complement receptor type 2 (CR2, CD21) binds to fragments of complement C3 (C3d, C3dg and iC3b), and together with CD19 and CD81 forms a co‐receptor to the B cell receptor (BCR). The binding of complement‐tagged antigens to the BCR and CD21 results in co‐ligation, which amplifies signals transduced through the BCR and thus lowers the B cell activation threshold.",27010233
FCRL5,B cells,Fc receptor-like 5 (FcRL5/FcRH5/IRTA2/CD307) is a surface protein expressed selectively on B cells and plasma cells.,22807577
MS4A1,B cells,"The cell surface protein CD20 is a 33-kDa protein, which is expressed almost exclusively on B cells from beyond pre-B-cell stage but is lost as postgerminal cells differentiate to become plasma cells. The function of CD20 is unknown, but suggested to contribute to ion channel formation in all B cells (malignant and nonmalignant).",25952779
PAX5,B cells,BSAP/PAX-5 is thought to repress Ig heavy chain transcription in immature and mature B cells by inhibiting the activity of the Ig heavy chain 3′ α chain enhancer in these cells.,9694719
STAP1,B cells,"STAP1 is a relatively unknown protein, consisting out of Peckstrin homology (PH) domains and unique Src homology 2 (SH2) domains, suggesting that STAP1 recruits signaling proteins to receptor tyrosine kinases. STAP1 is reported to be a docking protein downstream of Tec protein tyrosine kinase (TEC), which is involved in BCR signaling. In addition, reports show enriched expression in hematopoietic stem cells and a potential role of STAP1 in microglia activation has been suggested.",29330417
TNFRSF13B,B cells,"BAFF can bind to three receptors, B-cell maturation antigen (BCMA), transmembrane activator and calcium modulator and cyclophilin ligand interactor (TACI) and BAFF-receptor (BAFF-R) (also known as BR3). BCMA and TACI also bind to another TNF family member, a proliferation-inducing ligand. TACI is considered to be a negative regulator of B-cell homeostasis.",19207947
TNFRSF13C,B cells,"This molecule was first identified as one of three receptors that bind the B-cell survival factor of the TNF-family or BAFF (also known as BLyS, TALL-1, THANK and zTNF4). BAFF-R regulates the survival of resting B cells, in part through protecting cells from apoptosis.",16769579
TNFRSF17,B cells,"A proliferation-inducing ligand (APRIL), as well as its receptors transmembrane activator and calcium-modulating cyclophilin ligand (CAML) interactor (TACI) and B-cell maturation antigen (BCMA), has been shown to be important in B-cell biology.",19321861
ACTA2,Cancer-associated fibroblasts,"Myofibroblasts acquire contractile stress fibers, de novo express α-smooth muscle actin (α-SMA) and the ED-A splice variant of fibronectin, and form cell-cell contacts through gap junctions.",21984967
CD248,Cancer-associated fibroblasts,Endosialin (Tem1) is a marker of tumor-associated myofibroblasts and tumor vessel-associated mural cells.,18187565
COL11A1,Cancer-associated fibroblasts,The α1 chain of type XI collagen (COL11A1) has been shown to be overexpressed in cancer-associated stromal fibroblasts.,27021528
COL1A1,Cancer-associated fibroblasts,"Many of the constituents of the ECM and basement membranes — such as type I, type III, type IV and type V collagens, many different laminins and fibronectin — are produced by activated fibroblasts or myofibroblasts.",16572188
COL1A2,Cancer-associated fibroblasts,"Many of the constituents of the ECM and basement membranes — such as type I, type III, type IV and type V collagens, many different laminins and fibronectin — are produced by activated fibroblasts or myofibroblasts.",16572188
COL5A1,Cancer-associated fibroblasts,"Many of the constituents of the ECM and basement membranes — such as type I, type III, type IV and type V collagens, many different laminins and fibronectin — are produced by activated fibroblasts or myofibroblasts.",16572188
COL6A1,Cancer-associated fibroblasts,"Type VI collagen (COL6) forms a microfibrillar network that is often associated with type I collagen fibrils and may bind them together to form thicker collagen fibers. The COL6 protein is comprised of three different alpha chains and the major form is made up of α1, α2, α3 chains.",26338964
COL6A2,Cancer-associated fibroblasts,"Type VI collagen (COL6) forms a microfibrillar network that is often associated with type I collagen fibrils and may bind them together to form thicker collagen fibers. The COL6 protein is comprised of three different alpha chains and the major form is made up of α1, α2, α3 chains.",26338965
COL6A3,Cancer-associated fibroblasts,"In current study, we chose COL6A3, an ECM protein, for further analysis. By TMA-IHC analysis, we further revealed that COL6A3 protein was significantly upregulated in the stromal cells of CRC tissues comparing with the normal counterparts. Interestingly, the upregulation of COL6A3 in cancer stroma predicted poor outcome of CRC patients, as revealed by the Kaplan-Meier survival analysis.",26338966
CXCL12,Cancer-associated fibroblasts,"CXCL12, also known as SDF1a, binds to its cognate receptor, CXCR4. Previous studies showed that CAFs secrete CXCL12, stimulate CXCL12/CXCR4 signaling and promote tumor growth and angiogenesis in breast cancer and non-small cell lung cancer.",26414794
FAP,Cancer-associated fibroblasts,FAP is a membrane-bound serine protease of the prolyl oligopeptidase family with unique post-prolyl endopeptidase activity. The identification of fibroblast activation protein α (FAP) as a target selectively expressed on fibroblasts within the tumor stroma or on carcinoma-associated fibroblasts led to intensive efforts to exploit this novel cellular target for clinical benefit.,22323494
FBLN1,Cancer-associated fibroblasts,"In contrast to normal fibroblasts, cancer-associated fibroblasts (CAFs) enhance tumor growth and metastasis through the production of growth factors and ECM proteins and modulating immune polarization. They also have different gene signatures related to paracrine signaling, transcriptional regulation, extracellular matrix, cell-cell interaction and cell adhesion/migration such as wnt1 inducible signaling pathway protein 1 (WISP1), kruppel like factor 4 (KLF4), TGFβ2, fibulin1 (FBLN1), plasminogen activator inhibitor 2 (PAI2), and tissue plasminogen activator (PLAT).",22482059
FGF2,Cancer-associated fibroblasts,Fibroblast surface-associated FGF-2 promotes contact-dependent colorectal cancer cell migration and invasion.,25973543
FN1,Cancer-associated fibroblasts,"In particular, miR-200 s and their targets all contributed to CAF-associated ECM remodeling through two key ECM remodeling proteins, fibronectin (FN) and lysyl oxidase, further fueling cancer cell invasion and metastasis.",26068592
LRP1,Cancer-associated fibroblasts,LRP1 is a large transmembrane receptor that is abundantly produced by fibroblasts. LRP1 has been found in a wide range of human malignancies.,21325077
LUM,Cancer-associated fibroblasts,Lumican is an extracellular protein belonging to the family of small leucine-rich repeat proteoglycans (SLRPs). Cancer-associated fibroblast-derived Lumican promotes gastric cancer progression via the integrin β1-FAK signaling pathway.,28542982
MFAP5,Cancer-associated fibroblasts,"Specifically, MFAP5, a protein component of extracellular microfibrils, was enriched in CAF secretomes. Using in vitro assays, we demonstrated that MFAP5 activated OTSCC cell growth and migration via activation of MAPK and AKT pathways.",29681158
MMP2,Cancer-associated fibroblasts,"The data indicate both upregulation and activation of matrix metalloproteinases (MMPs)-1, -2, and -3 are characteristic of the cancer-associated myofibroblast (CAM) secretome.",23705892
MMP3,Cancer-associated fibroblasts,"The data indicate both upregulation and activation of matrix metalloproteinases (MMPs)-1, -2, and -3 are characteristic of the cancer-associated myofibroblast (CAM) secretome.",23705892
PDGFRA,Cancer-associated fibroblasts,"Platelet-derived growth factor is a major mitogen for several cell types, including connective tissue cells, that is activated by binding to two protein tyrosine kinase receptors (PDGFRα and PDGFRβ). The results from our study revealed that higher grade PT with more active fibroblasts showed higher expression of PDGFRα and β, suggesting that fibroblasts with a CAF phenotype are associated with PT progression.",27881889
PDGFRB,Cancer-associated fibroblasts,"Platelet-derived growth factor is a major mitogen for several cell types, including connective tissue cells, that is activated by binding to two protein tyrosine kinase receptors (PDGFRα and PDGFRβ). The results from our study revealed that higher grade PT with more active fibroblasts showed higher expression of PDGFRα and β, suggesting that fibroblasts with a CAF phenotype are associated with PT progression.",27881889
BTLA,Checkpoint molecules,"BTLA was first identified as an inhibitory receptor on T cells. Subsequently, herpesvirus entry mediator (HVEM; also known as TNFRSF14) — which is expressed on certain tumour cell types (for example, melanoma) as well as on tumour-associated endothelial cells — was shown to be the BTLA ligand. BTLA may also be a relevant inhibitory receptor for T cells in the tumour microenvironment. Dual blockade of BTLA and PD1 clearly enhances antitumour immunity.",22437870
CD274,Checkpoint molecules,"Interaction between the Programmed Death Ligand 1 (PD-L1) on the surface of tumor cells with the Programmed Death-1 (PD-1) receptor on cytotoxic T lymphocytes leads to inactivation of these immune effectors and, consequently, immune escape. Here we show that the PD-1/PD-L1 axis also leads to tumor cell resistance to conventional chemotherapeutic agents.",26859684
CTLA4,Checkpoint molecules,"CTLA4, the first immunecheckpoint receptor to be clinically targeted, is expressed exclusively on T cells where it primarily regulates the amplitude of the early stages of T cell activation. Primarily, CTLA4 counteracts the activity of the T cell co-stimulatory receptor, CD28. CD28 does not affect T cell activation unless the TCR is first engaged by cognate antigen. Once antigen recognition occurs, CD28 signalling strongly amplifies TCR signalling to activate T cells. CD28 and CTLA4 share identical ligands: CD80 (also known as B7.1) and CD86 (also known as B7.2). Although the exact mechanisms of CTLA4 action are under considerable debate, because CTLA4 has a much higher overall affinity for both ligands, it has been proposed that its expression on the surface of T cells dampens the activation of T cells by outcompeting CD28 in binding CD80 and CD86, as well as actively delivering inhibitory signals to the T cells.",22437870
HAVCR2,Checkpoint molecules,"TIM3, the ligand of which is galectin 9 (a galectin that is upregulated in various types of cancer, including breast cancers) inhibits T helper 1 (TH1) cell responses. TIM3 has also been reported to be co-expressed with PD1 on tumour-specific CD8+ T cells, and dual blockade of both molecules significantly enhances the in vitro proliferation and cytokine production of human T cells when stimulated by the cancer–testes antigen, NY-ESO-1. In animal models, coordinate blockade of PD1 and TIM3 was reported to enhance antitumour immune responses and tumour rejection in circumstances in which only modest effects from blockade of each individual molecule were observed.",22437870
LAG3,Checkpoint molecules,"LAG-3 (CD223) is a member of the immunoglobulin superfamily and is expressed on a variety of cell types including T cells, NK cells, B cells and dendritic cells. LAG-3 is generally absent on resting T cells and is upregulated on activated T cells. By interacting with its ligand, MHC class II, LAG-3 plays a negative regulatory role and suppresses T cell function.",28977875
PDCD1,Checkpoint molecules,"The major role of PD1 is to limit the activity of T cells in peripheral tissues at the time of an inflammatory response to infection and to limit autoimmunity. When engaged by one of its ligands, PD1 inhibits kinases that are involved in T cell activation through the phosphatase SHP250, although additional signalling pathways are also probably induced. Also, because PD1 engagement inhibits the TCR ‘stop signal’, this pathway could modify the duration of T cell–APC or T cell–target cell contact.",22437870
PDCD1LG2,Checkpoint molecules,"PD1 only inhibits lymphocyte function when it is engaged by its ligands, PDL1 and PDL2. PDL2 has also been reported to be upregulated in various tumours.",22437870
TIGIT,Checkpoint molecules,"This approach identified TIGIT as the most frequently expressed co-inhibitory receptor in FL T cells, and the expression was associated with T-cell dysfunction. Taken together, our data suggest TIGIT as a promising new target for immune checkpoint blockade in FL.",29217528
VSIR,Checkpoint molecules,The frequent observation of increased expression of intratumoral VISTA+ lymphocytes during acquired resistance to immune checkpoint inhibitor therapy suggests that this is probably an important mechanism of resistance.,28776578
CD40LG,Co-stimulatory ligands,"In normal tissues, signaling through CD40 has been implicated in enhanced antigen presentation function and cytokine release. CD40 ligand (CD40L), also known as CD154, functions as the natural ligand for CD40. It is expressed primarily on the surface of activated T lymphocytes but has also been found on activated platelets. CD40L is a major component of T-cell help for B cells in antibody isotype switching and in the formation of memory B cells and germinal centers.",11432896
CD70,Co-stimulatory ligands,"CD27, a member of the tumor necrosis factor receptor superfamily, acts as a potent costimulatory molecule that, unlike other related family members, is expressed constitutively on unstimulated T lymphocytes. CD70, the ligand for CD27, is transiently expressed on antigen-presenting cells. CD27-CD70 mediated costimulation — concomitant with antigen-specific T-cell receptor (TCR) stimulation — results in T-cell activation, proliferation, survival, and maturation of effector capacity and T-cell memory. CD27-CD70 interactions also promote B-cell proliferation, generation of plasma cells, production of immunoglobulin and B-cell memory, and induction of the cytolytic activity of natural killer (NK) cells.",28463630
CD80,Co-stimulatory ligands,"The B7-related molecules CD80 and CD86 are expressed on antigen-presenting cells, bind the homologous T cell receptors CD28 and CTLA-4, and trigger costimulatory signals important for optimal T cell activation. Despite limited sequence identity, CD80 and CD86 share similar overall receptor binding properties and effector functions.",7545666
CD83,Co-stimulatory ligands,"Human CD83 is a marker molecule for mature dendritic cells (DC) and is also expressed on activated B and T cells. In conclusion, we demonstrate that CD83 expression on T cells and DC modulates the immune response by activating DC and by delivering costimulatory signals for the stimulation of naive and memory T cells, respectively.",17301951
CD86,Co-stimulatory ligands,"The B7-related molecules CD80 and CD86 are expressed on antigen-presenting cells, bind the homologous T cell receptors CD28 and CTLA-4, and trigger costimulatory signals important for optimal T cell activation. Despite limited sequence identity, CD80 and CD86 share similar overall receptor binding properties and effector functions.",7545666
ICOSLG,Co-stimulatory ligands,"ICOS binds to the related molecule B7H (also known as B7RP1, LICOS or GL50). Ligation of ICOS by B7H might occur in the absence of CD80 and CD86, and so provide the minimal CD28-like signals that are required for costimulation. This would allow the clonal expansion of TH2 cells without concurrent activation of TH1 cells through CD28 co-stimulation. ICOS might also operate together with CD28 to alter the threshold of signalling. Conversely, although ICOS and CD28 enhance the production of interferon-γ (IFN-γ), IL-4 and IL-10, ICOS only marginally induces IL-2 production.",12876557
TNFSF4,Co-stimulatory ligands,"OX40 is a member of the tumor necrosis factor receptor superfamily and interactions between OX40 and OX40L act as costimulatory signals. We and others have extensively studied the functions of OX40 and OX40L in the immune system, including the generation of memory T cells and the stimulation of CD4 T cells, CD8 T cells, and natural killer T cells. Triggering OX40 signaling has been demonstrated in various mouse tumor models as a potential antitumor therapy and its translation to clinical trials is under investigation.",25744203
TNFSF9,Co-stimulatory ligands,"CD137 (4-1BB, TNFRSF9) glycoprotein is a member of the tumor necrosis factor receptor superfamily and binds to a high-affinity ligand (CD137L, 4-1BBL, TNFSF9) expressed on antigen-presenting cells such as dendritic cells, macrophages, and activated B cells. CD137 is shown to be an important costimulatory molecule for T-cell activation. Engagement of CD137 on T cells by natural ligand or agonist monoclonal antibody (mAb) enhances T-cell proliferation and provides protection to CD8 T cells from activation-induced cell death through nuclear factor κB–mediated activation and up-regulation of the antiapoptotic Bcl-2 family members Bcl-xL and Bfl-1. Stimulation of CD137 could also lead to activation of dendritic cells, NK cells, and macrophages in vitro.",20068221
CD27,Co-stimulatory receptors,"CD27, a member of the tumor necrosis factor receptor superfamily, acts as a potent costimulatory molecule that, unlike other related family members, is expressed constitutively on unstimulated T lymphocytes. CD70, the ligand for CD27, is transiently expressed on antigen-presenting cells. CD27-CD70 mediated costimulation — concomitant with antigen-specific T-cell receptor (TCR) stimulation — results in T-cell activation, proliferation, survival, and maturation of effector capacity and T-cell memory. CD27-CD70 interactions also promote B-cell proliferation, generation of plasma cells, production of immunoglobulin and B-cell memory, and induction of the cytolytic activity of natural killer (NK) cells.",28463630
CD28,Co-stimulatory receptors,"The key role of CD28 in promoting full activation of naive T cells is illustrated by its direct effects on gene activation, cell cycle and survival, and in inducing the expression of a second wave of membrane receptors by activated T cells and by CD28-mediated in direct (or long-range) effects on clonal expansion and T-cell differentiation.",14647476
CD40,Co-stimulatory receptors,"In normal tissues, signaling through CD40 has been implicated in enhanced antigen presentation function and cytokine release. In B cells, CD40 cross-linking results in immunoglobulin class switching and growth stimulation. CD40 has been demonstrated on all normal B-lymphocytes, as well as populations of epithelial cells, CD341 hematopoietic progenitor cells, monocytes, dendritic cells, endothelial cells, and fibroblasts.",11432896
ICOS,Co-stimulatory receptors,"ICOS is a T-cell coregulatory receptor that provides a costimulatory signal to T cells during antigen-mediated activation. Taken together, our results showed that ICOS signaling during antitumor responses acts on both Teff and Treg cells, which have opposing roles in promoting immune activation.",27197182
TNFRSF4,Co-stimulatory receptors,"OX40 is a potent co-stimulatory receptor that can potentiate T cell receptor signaling on the surface of T lymphocytes, leading to their activation by a specifically recognized antigen. In particular, OX40 engagement by ligands present on dendritic cells dramatically increases the proliferation, effector function and survival of T cells.",24177180
TNFRSF9,Co-stimulatory receptors,"CD137 (4-1BB, TNFRSF9) glycoprotein is a member of the tumor necrosis factor receptor superfamily and binds to a high-affinity ligand (CD137L, 4-1BBL, TNFSF9) expressed on antigen-presenting cells such as dendritic cells, macrophages, and activated B cells. CD137 is shown to be an important costimulatory molecule for T-cell activation. Engagement of CD137 on T cells by natural ligand or agonist monoclonal antibody (mAb) enhances T-cell proliferation and provides protection to CD8 T cells from activation-induced cell death through nuclear factor κB–mediated activation and up-regulation of the antiapoptotic Bcl-2 family members Bcl-xL and Bfl-1. Stimulation of CD137 could also lead to activation of dendritic cells, NK cells, and macrophages in vitro.",20068221
CCL3,Effector cell traffic,"Because it seemed likely that the protein array approach might not be sensitive enough to detect chemokines in low abundance, real-time RT-PCR was done for expression of CXCL9/Mig, CXCL10/IP-10, and CCL3/MIP-lα. Each of these also was confirmed to be expressed at higher levels in the T-cell-containing tumors.",19293190
CCL4,Effector cell traffic,"Quantitatively, CCL4 expression was significantly greater in the T-cell-containing tumors (mean intensity 37 ± 25 compared with 0 ± 0; P = 0.005) as was CCL5 (mean intensity, 59 ± 27 versus 10 ± 10; P = 0.003).",19293190
CCL5,Effector cell traffic,"Quantitatively, CCL4 expression was significantly greater in the T-cell-containing tumors (mean intensity 37 ± 25 compared with 0 ± 0; P = 0.005) as was CCL5 (mean intensity, 59 ± 27 versus 10 ± 10; P = 0.003).",19293190
CX3CL1,Effector cell traffic,"Fractalkine (FKN) is a unique CX3C chemokine (CX3CL1) known to induce both adhesion and migration of leukocytes mediated by a membrane-bound and a soluble form, respectively. Its function is mediated through CX3C receptor (CX3CR), which is expressed by T(H)1 immune cells including T cells and natural killer (NK) cells.",17332365
CX3CR1,Effector cell traffic,"Fractalkine (FKN) is a unique CX3C chemokine (CX3CL1) known to induce both adhesion and migration of leukocytes mediated by a membrane-bound and a soluble form, respectively. Its function is mediated through CX3C receptor (CX3CR), which is expressed by T(H)1 immune cells including T cells and natural killer (NK) cells.",17332365
CXCL10,Effector cell traffic,"The two chemokines and CXCR3 receptor ligands CXCL9 and CXCL10 mediate the recruitment of tumour-suppressive CXCR3+ T cells and natural killer (NK) cells into solid cancers. Correspondingly, a high intratumoral concentration of these chemokines is associated with a higher lymphocytic infiltrate and an improved survival in several malignancies.",27490802
CXCL11,Effector cell traffic,"However, CXCL11 shows higher affinity for CXCR3 than either CXCL9 or CXCL10, and consequently is a more potent activator of the receptor. The two functions of CXCL11, inhibition of angiogenesis and attraction of tumor-specific CTL (this study) may act synergistically and lead to tumor regression.",16783574
CXCL9,Effector cell traffic,"The two chemokines and CXCR3 receptor ligands CXCL9 and CXCL10 mediate the recruitment of tumour-suppressive CXCR3+ T cells and natural killer (NK) cells into solid cancers. Correspondingly, a high intratumoral concentration of these chemokines is associated with a higher lymphocytic infiltrate and an improved survival in several malignancies.",27490802
CXCR3,Effector cell traffic,"The two chemokines and CXCR3 receptor ligands CXCL9 and CXCL10 mediate the recruitment of tumour-suppressive CXCR3+ T cells and natural killer (NK) cells into solid cancers. Correspondingly, a high intratumoral concentration of these chemokines is associated with a higher lymphocytic infiltrate and an improved survival in several malignancies.",27490802
CD8A,Effector cells,"The CD8αβ heterodimer functions as a coreceptor with the TCR, influencing the outcome of CD8+ T cell responses to pathogen-infected and tumor cells.",18490743
CD8B,Effector cells,"The CD8αβ heterodimer functions as a coreceptor with the TCR, influencing the outcome of CD8+ T cell responses to pathogen-infected and tumor cells.",18490743
EOMES,Effector cells,"Eomesodermin (EOMES) is an important transcription factor controlling the function of effector CD8+ T cells. The expression of EOMES in CD8+ T cells may reflect a critical basal level of immune competence of the melanoma patient. CD8+ T cells play a vital role in the immune response to melanoma, and their baseline level of activation and function may be a sine qua non for the therapeutic effect of ipilimumab.",22788688
FASLG,Effector cells,"In addition to the perforin/granzyme pathway and some indirect mechanisms involving cytokines such as tumor necrosis factor-α (TNFα) and interferon-γ, CD95/CD95L is a direct major system that both CTLs as well as CD4+ cytolytic effector T cells use to eliminate neoplastically transformed cells.",25656654
GNLY,Effector cells,"Granulysin was first known as an intracellular cytolytic molecule within granules of CTLs and NK cells. Originally, the cytolytic function of granulysin was demonstrated in cells infected with intracellular organisms such as Mycobacterium tuberculosis; this molecule was later shown to also be effective against tumor cells.",21540579
